p_grid_psi,bo_rb_stb,bg_rb_scf,rs_scf_stb
1500.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
1750.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
2000.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
2250.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
2500.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
2750.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
3000.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
3250.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
3500.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
3750.0,1.1177252620031883,0.0005996630495993,1474.9778820350698
4000.0,1.119995539323834,0.0005849274770995,1499.9534286447945
4250.0,1.1197249833009066,0.0005849,1500.0
4500.0,1.1194500108551828,0.0005849,1500.0
4750.0,1.1191750461621193,0.0005849,1500.0
5000.0,1.1189000162268607,0.0005849,1500.0
5250.0,1.1186249533053427,0.0005849,1500.0
5500.0,1.1183896620748148,0.0005849,1500.0
